Recipient,Armament category,Delivery year,Total TIV
Botswana,Aircraft,1997,18.4
Botswana,Engines,2009,1.0
Botswana,Engines,2010,1.0
Botswana,Aircraft,1990,10.0
Botswana,Aircraft,1993,1.26
Botswana,Aircraft,2001,15.18
Botswana,Aircraft,2018,1.52
Botswana,Aircraft,2019,1.52
Brazil,Armoured vehicles,2023,2.56
Brazil,Armoured vehicles,2016,4.6
Brazil,Armoured vehicles,2018,25.2
Brazil,Armoured vehicles,2017,2.4
Brazil,Armoured vehicles,1991,4.8
Brazil,Armoured vehicles,1997,14.0
Brazil,Ships,1990,38.0
Brazil,Engines,2019,2.1
Brazil,Engines,2018,2.1
Brazil,Engines,2017,1.8
Brazil,Engines,2020,1.08
Brazil,Missiles,1992,7.0
Brazil,Missiles,1993,7.0
Brazil,Missiles,1995,10.5
Brazil,Missiles,1996,10.85
Brazil,Missiles,1997,10.5
Brazil,Aircraft,2007,4.0
Brazil,Aircraft,2006,4.0
Brazil,Aircraft,2005,3.0
Brazil,Aircraft,2008,4.0
Brazil,Sensors,1991,12.0
Brazil,Aircraft,2012,43.5
Brazil,Aircraft,2015,34.0
Brazil,Aircraft,2016,24.0
Brazil,Armoured vehicles,2020,3.0
Brazil,Armoured vehicles,2016,2.4
Brazil,Sensors,2022,5.0
Brazil,Sensors,2021,2.5
Brazil,Aircraft,2021,0.24
Brazil,Armoured vehicles,2018,7.2
Brazil,Sensors,2005,15.0
Brazil,Sensors,2001,7.5
Brazil,Sensors,2002,7.5
Brazil,Sensors,2004,15.0
Brazil,Sensors,2008,7.5
Brazil,Artillery,2018,18.0
Brazil,Artillery,2015,2.0
Brazil,Aircraft,2011,9.0
Brazil,Aircraft,1997,29.0
Brazil,Aircraft,2011,29.0
Brazil,Engines,2013,0.2
Brazil,Engines,2012,0.2
Brazil,Engines,2011,0.15
Brazil,Engines,2010,0.15
Brazil,Engines,2014,0.2
Brazil,Aircraft,2012,34.0
