Recipient,Delivery year,Armament category,Total TIV
Brazil,2016,Armoured vehicles,7.0
Brazil,2017,Armoured vehicles,2.4
Brazil,2017,Engines,6.2
Brazil,2018,Armoured vehicles,32.4
Brazil,2018,Artillery,18.0
Brazil,2018,Engines,2.1
Brazil,2019,Armoured vehicles,2.4
Brazil,2019,Artillery,26.4
Brazil,2019,Engines,10.1
Brazil,2020,Armoured vehicles,6.0
Brazil,2020,Engines,10.58
Brazil,2021,Aircraft,0.24
Brazil,2021,Engines,23.0
Brazil,2021,Sensors,2.5
Brazil,2022,Engines,6.0
Brazil,2022,Sensors,5.0
Brazil,2023,Armoured vehicles,7.0
Brazil,2023,Engines,14.5
Brazil,2024,Armoured vehicles,0.72
Brazil,2024,Engines,6.0
Brunei,1996,Aircraft,7.25
Brunei,1997,Aircraft,14.5
Brunei,1997,Engines,1.0
Brunei,1998,Aircraft,7.25
Brunei,2003,Engines,0.27
Brunei,2004,Engines,0.3
Brunei,2013,Aircraft,14.5
Brunei,2014,Aircraft,36.25
Brunei,2015,Aircraft,36.25
Brunei,2021,Aircraft,0.35
Bulgaria,1999,Aircraft,4.2
Bulgaria,2007,Engines,3.0
Bulgaria,2008,Armoured vehicles,2.8
Bulgaria,2008,Engines,3.0
Bulgaria,2011,Engines,3.0
Bulgaria,2015,Armoured vehicles,4.0
Burkina Faso,2006,Aircraft,2.85
Burkina Faso,2021,Engines,1.2
Burkina Faso,2022,Engines,0.75
Burundi,2015,Armoured vehicles,1.4
Burundi,2016,Armoured vehicles,2.94
Cameroon,1990,Aircraft,2.85
Cameroon,2010,Aircraft,10.0
Cameroon,2013,Engines,1.0
Cameroon,2015,Aircraft,2.0
Cameroon,2015,Armoured vehicles,0.84
Cameroon,2016,Aircraft,0.08
Cameroon,2018,Aircraft,2.0
Cameroon,2019,Aircraft,4.0
Cameroon,2023,Engines,0.5
Canada,1990,Aircraft,2.85
Canada,1990,Engines,1.5
Canada,1990,Missiles,15.0
Canada,1991,Aircraft,340.7
Canada,1991,Engines,6.5
Canada,1991,Missiles,23.4
Canada,1991,Naval weapons,55.0
Canada,1992,Engines,20.5
Canada,1992,Missiles,36.0
Canada,1992,Naval weapons,46.0
Canada,1992,Sensors,16.0
Canada,1993,Engines,28.72
Canada,1993,Missiles,26.1
Canada,1993,Naval weapons,38.0
Canada,1993,Sensors,21.0
Canada,1994,Aircraft,30.0
Canada,1994,Engines,66.0
Canada,1994,Missiles,107.1
Canada,1994,Naval weapons,89.0
Canada,1994,Sensors,20.0
Canada,1995,Aircraft,172.8
Canada,1995,Engines,42.0
Canada,1995,Missiles,66.6
Canada,1995,Naval weapons,29.0
Canada,1995,Sensors,15.0
Canada,1996,Aircraft,150.0
Canada,1996,Engines,30.34
Canada,1996,Missiles,65.0
Canada,1996,Naval weapons,10.0
Canada,1996,Other,46.8
Canada,1996,Sensors,10.0
Canada,1997,Aircraft,206.0
Canada,1997,Engines,2.34
Canada,1997,Missiles,3.0
Canada,1997,Other,46.8
Canada,1998,Aircraft,20.0
Canada,1998,Engines,2.41
Canada,1998,Missiles,3.3
Canada,1998,Other,40.2
Canada,1999,Engines,8.0
Canada,1999,Other,96.0
Canada,2000,Aircraft,48.0
Canada,2000,Engines,9.0
Canada,2000,Missiles,7.2
Canada,2000,Other,108.0
Canada,2001,Engines,6.0
Canada,2001,Missiles,6.300000000000001
Canada,2001,Other,72.0
Canada,2002,Aircraft,3.8
Canada,2002,Armoured vehicles,0.6
Canada,2002,Engines,4.0
Canada,2002,Missiles,10.5
Canada,2002,Other,8.4
Canada,2002,Sensors,11.5
Canada,2003,Armoured vehicles,13.0
Canada,2003,Engines,4.0
Canada,2003,Missiles,7.9
Canada,2003,Sensors,32.0
Canada,2004,Armoured vehicles,13.0
Canada,2004,Engines,0.55
Canada,2004,Missiles,21.0
Canada,2004,Sensors,36.0
Canada,2005,Armoured vehicles,13.0
Canada,2005,Missiles,17.0
Canada,2005,Sensors,60.0
Canada,2006,Armoured vehicles,14.85
Canada,2006,Missiles,9.2
Canada,2006,Sensors,44.0
Canada,2007,Aircraft,280.0
Canada,2007,Armoured vehicles,18.7
Canada,2007,Missiles,84.2
Canada,2007,Sensors,18.0
Canada,2008,Aircraft,287.2
Canada,2008,Armoured vehicles,15.2
Canada,2008,Missiles,30.0
Canada,2008,Sensors,18.0
Canada,2009,Aircraft,36.0
Canada,2009,Armoured vehicles,29.0
Canada,2009,Missiles,36.8
Canada,2010,Aircraft,200.0
Canada,2010,Missiles,9.6
Canada,2011,Aircraft,320.0
Canada,2011,Missiles,8.0
Canada,2011,Sensors,2.5
Canada,2012,Aircraft,160.0
Canada,2012,Missiles,28.66
Canada,2012,Sensors,2.5
Canada,2013,Aircraft,140.0
Canada,2013,Engines,8.0
Canada,2013,Missiles,14.0
Canada,2013,Sensors,7.5
Canada,2014,Aircraft,160.0
Canada,2014,Engines,8.24
Canada,2014,Missiles,26.2
Canada,2014,Sensors,7.5
Canada,2015,Aircraft,284.0
Canada,2015,Engines,8.24
Canada,2015,Missiles,19.2
Canada,2015,Sensors,5.0
Canada,2016,Aircraft,36.0
Canada,2016,Armoured vehicles,65.0
Canada,2016,Engines,8.24
Canada,2016,Missiles,38.2
Canada,2017,Aircraft,72.35
Canada,2017,Armoured vehicles,129.5
Canada,2017,Engines,4.88
Canada,2017,Missiles,15.0
Canada,2018,Aircraft,18.0
Canada,2018,Armoured vehicles,50.0
Canada,2018,Engines,14.96
Canada,2018,Missiles,7.5
Canada,2019,Aircraft,72.0
Canada,2019,Armoured vehicles,5.5
Canada,2019,Engines,2.7199999999999998
Canada,2020,Aircraft,54.0
Canada,2021,Aircraft,36.0
Canada,2021,Missiles,3.0
Canada,2022,Aircraft,36.0
Canada,2022,Engines,4.0
Canada,2022,Missiles,4.8
Canada,2023,Engines,5.44
Canada,2023,Missiles,24.400000000000002
Canada,2024,Aircraft,62.2
Canada,2024,Engines,4.0
Canada,2024,Missiles,21.6
Canada,2024,Sensors,15.0
Central African Rep.,2006,Aircraft,9.2
Chad,2006,Aircraft,0.64
Chad,2014,Engines,6.0
Chad,2016,Armoured vehicles,2.2
Chad,2017,Aircraft,2.0
Chad,2017,Armoured vehicles,4.4
Chad,2018,Engines,1.0
Chad,2020,Armoured vehicles,3.08
Chad,2021,Engines,0.4
Chad,2022,Engines,0.6
Chile,1990,Aircraft,1.96
Chile,1990,Engines,4.4
Chile,1991,Aircraft,9.2
Chile,1991,Engines,2.31
Chile,1992,Aircraft,67.89
Chile,1992,Engines,0.75
Chile,1993,Aircraft,24.689999999999998
Chile,1993,Engines,1.2
Chile,1994,Aircraft,16.2
Chile,1994,Engines,1.29
Chile,1995,Engines,1.3499999999999999
Chile,1995,Ships,30.17
Chile,1996,Aircraft,8.45
Chile,1996,Engines,1.3499999999999999
Chile,1997,Aircraft,2.24
Chile,1997,Engines,2.95
Chile,1998,Aircraft,17.35
Chile,1998,Engines,0.15
Chile,1999,Air-defence systems,11.84
Chile,1999,Aircraft,0.7
Chile,1999,Engines,0.15
Chile,2000,Air-defence systems,16.32
Chile,2000,Aircraft,2.56
Chile,2000,Engines,0.06
Chile,2001,Aircraft,11.3
Chile,2001,Naval weapons,2.8
Chile,2003,Sensors,7.5
Chile,2004,Armoured vehicles,15.8
Chile,2006,Aircraft,248.0
Chile,2006,Missiles,5.0
Chile,2007,Aircraft,62.0
Chile,2007,Missiles,17.1
Chile,2009,Aircraft,30.0
Chile,2010,Aircraft,44.0
Chile,2010,Sensors,2.5
Chile,2010,Ships,85.8
Chile,2011,Aircraft,34.0
Chile,2011,Sensors,5.0
Chile,2012,Aircraft,24.0
Chile,2012,Artillery,9.9
Chile,2012,Missiles,4.2
Chile,2013,Aircraft,2.08
Chile,2013,Missiles,15.0
Chile,2013,Sensors,14.0
Chile,2014,Missiles,45.0
Chile,2014,Sensors,16.0
Chile,2015,Aircraft,15.799999999999999
Chile,2015,Artillery,9.9
Chile,2015,Missiles,45.0
Chile,2015,Sensors,10.0
Chile,2016,Aircraft,15.6
Chile,2016,Engines,2.6
Chile,2017,Aircraft,0.4
Chile,2018,Aircraft,43.5
Chile,2019,Missiles,0.88
Chile,2021,Aircraft,22.599999999999998
China,1994,Engines,35.0
China,1995,Engines,1.8
China,1996,Engines,1.8
Colombia,1990,Aircraft,1.9
Colombia,1990,Ships,4.6
Colombia,1991,Aircraft,37.15
Colombia,1991,Ships,14.78
Colombia,1992,Aircraft,0.26
Colombia,1992,Ships,14.78
Colombia,1993,Aircraft,52.68
Colombia,1994,Aircraft,29.3
Colombia,1994,Ships,12.8
Colombia,1995,Aircraft,35.15
Colombia,1996,Aircraft,37.040000000000006
Colombia,1997,Aircraft,100.37
Colombia,1997,Sensors,2.25
Colombia,1998,Aircraft,78.41
Colombia,1998,Engines,3.0
Colombia,1998,Sensors,2.25
Colombia,1999,Aircraft,43.57
Colombia,2000,Aircraft,61.85
Colombia,2000,Sensors,6.0
Colombia,2001,Aircraft,242.57999999999998
Colombia,2001,Sensors,22.0
Colombia,2002,Aircraft,124.12
Colombia,2003,Aircraft,83.88
Colombia,2003,Engines,2.0
Colombia,2003,Sensors,2.5
Colombia,2003,Ships,6.0
Colombia,2005,Aircraft,4.25
Colombia,2006,Aircraft,4.57
Colombia,2006,Sensors,22.0
Colombia,2007,Aircraft,102.87
Colombia,2007,Missiles,1.0
Colombia,2007,Sensors,22.0
Colombia,2007,Ships,4.0
Colombia,2008,Aircraft,2.9499999999999997
Colombia,2008,Missiles,1.0
Colombia,2008,Sensors,12.0
Colombia,2009,Aircraft,141.38
